FT,ET,MT,stock,pH,MBC,MAT,MAP,NDSI,NDVI
Permafrost,Forest,EM,8.32824,6.1999998,0.069978886,-3,400,14.2895002,0.333288
Permafrost,Forest,EM,4.73304,6.6999998,0.130224607,-3,400,3.7051499,0.418363
Permafrost,Forest,EM,4.73304,6,0.07567299,-3,400,4.7972598,0.445067
Permafrost,Forest,EM,6.0976,6.5999999,0.121956146,-3,400,13.6337004,0.335694
Permafrost,Forest,EM,6.38104,6.1999998,0.074658414,-3,400,2.8889999,0.442389
Permafrost,Forest,EM,4.73304,6,0.072369927,-3,400,7.9183002,0.384287
Permafrost,Forest,EM,4.73304,6.6999998,0.128597791,-3,400,4.9176002,0.375984
Permafrost,Forest,EM,4.73304,6,0.07567299,-3,400,3.27455,0.412472
Permafrost,Forest,EM,4.73304,6.5999999,0.104314544,-3,400,10.9222002,0.370542
Permafrost,Forest,EM,5.97504,6,0.063781121,-3,400,17.0198002,0.299392
Permafrost,Forest,EM,14.58318,6.1999998,0.060567817,-3,400,10.3202,0.341
Permafrost,Forest,EM,9.67486,6,0.063829945,-3,400,8.4425402,0.416763
Permafrost,Forest,EM,4.73304,6.6999998,0.134186868,-3,400,5.3215299,0.403256
Permafrost,Wetland,EM,10.72,6.6999998,0.015912,0.4,630,7.3896298,0.41547
Permafrost,Wetland,EM,12.416,6.6999998,0.015912,0.4,630,7.3896298,0.41547
Permafrost,Wetland,EM,13.244,6.6999998,0.015912,0.4,630,7.3896298,0.41547
Permafrost,Wetland,EM,16.764,6.6999998,0.023867999,0.4,630,7.3896298,0.41547
Permafrost,Wetland,EM,14.188,6.6999998,0.015912,0.4,630,7.3896298,0.41547
Permafrost,Wetland,EM,12.978,6.6999998,0.023867999,0.4,630,7.3896298,0.41547
Permafrost,Wetland,EM,12.96,6.6999998,0.015912,0.4,630,7.3896298,0.41547
Permafrost,Wetland,EM,16.528,6.6999998,0.031823999,0.4,630,7.3896298,0.41547
Permafrost,Wetland,EM,14.172,6.6999998,0.015912,0.4,630,7.3896298,0.41547
Permafrost,Wetland,EM,17.49,6.6999998,0.023867999,0.4,630,7.3896298,0.41547
Permafrost,Wetland,EM,6.20288,6.31,0.031381633,-3,440,4.8370099,0.48736
Permafrost,Wetland,EM,2.60972,6.72,0.051975829,-3,440,4.8370099,0.48736
Permafrost,Wetland,EM,4.33904,5.79,0.046091773,-3,440,4.8370099,0.48736
Permafrost,Wetland,EM,2.60804,6.94,0.055408195,-3,440,4.8370099,0.48736
Permafrost,Grassland,NM,8.728538944,6,0.074956468,-0.5,520,16.6912994,0.186295
Seasonal,Grassland,AM,10.73491879,5.1,0.034769289,3.6,400,6.3424001,0.314411
Permafrost,Wetland,AM,41.66728854,5.8,0.074956468,-0.5,519.9,16.6912994,0.186295
Seasonal,Grassland,NM,5.082134571,5.9,0.080681607,0.9,477,21.3197994,0.34249
Permafrost,Forest,EM,14.57819026,5.9,0.073200365,-1,469,17.8374004,0.226952
Seasonal,Forest,EM,15.98468677,6.4,0.086962728,1.3,560,18.2049007,0.368961
Permafrost,Forest,EM,3.423665893,5.7,0.073200365,-1,469.9,17.8374004,0.226952
Permafrost,Forest,EM,16.27795947,5.1,0.078771796,1,1000,15.1943998,0.254533
Seasonal,Forest,EM,9.99953672,6.8,0.068396332,0.9,477,15.3852997,0.289258
Seasonal,Forest,EM,15.98468677,6.4,0.086962728,1.3,560,18.2049007,0.368961
Seasonal,Forest,EM,5.485614849,5.4,0.094525599,2.8,592,6.0605402,0.478229
Seasonal,Forest,EM,8.687703016,6.5,0.088679235,2.2,594,9.1288099,0.342232
Seasonal,Forest,EM,4.255220418,6.4,0.081366318,3.1,554.8,14.6784,0.323684
Seasonal,Forest,EM,18.71461717,6.5,0.070159696,3.9,563,16.5622005,0.322507
Seasonal,Grassland,AM,5.301160093,6.8,0.063434753,2.3,581,16.5746002,0.311892
