layer,Type,log_stock
0-20,Seasonal frozen ground,-0.003488328
0-20,Seasonal frozen ground,-0.080921908
0-20,Seasonal frozen ground,-0.04383157
0-20,Seasonal frozen ground,-0.20481541
0-20,Seasonal frozen ground,-0.089375595
0-20,Seasonal frozen ground,-0.092588639
0-20,Seasonal frozen ground,-0.094743951
20-40,Seasonal frozen ground,-0.295849483
20-40,Seasonal frozen ground,-0.156767222
20-40,Seasonal frozen ground,-0.145693958
20-40,Seasonal frozen ground,-0.199282922
20-40,Seasonal frozen ground,-0.225483034
20-40,Seasonal frozen ground,-0.164943898
20-40,Seasonal frozen ground,-0.206209615
40-60,Seasonal frozen ground,-0.335358024
40-60,Seasonal frozen ground,-0.208309351
40-60,Seasonal frozen ground,-0.208309351
40-60,Seasonal frozen ground,-0.199282922
40-60,Seasonal frozen ground,-0.251037139
40-60,Seasonal frozen ground,-0.171340103
40-60,Seasonal frozen ground,-0.152427341
0-20,Seasonal frozen ground,0.92867232
0-20,Seasonal frozen ground,1.007863802
0-20,Seasonal frozen ground,0.979045504
0-20,Seasonal frozen ground,1.007476366
20-40,Seasonal frozen ground,1.076591806
0-20,Seasonal frozen ground,0.565375503
0-20,Seasonal frozen ground,0.51054501
0-20,Seasonal frozen ground,0.441852176
20-40,Seasonal frozen ground,0.292256071
40-60,Seasonal frozen ground,0.194791758
0-20,Seasonal frozen ground,0.903159469
0-20,Seasonal frozen ground,0.916803349
0-20,Seasonal frozen ground,0.889073007
0-20,Seasonal frozen ground,0.970559786
0-20,Seasonal frozen ground,0.889073007
0-20,Seasonal frozen ground,0.916803349
0-20,Seasonal frozen ground,0.958526615
0-20,Seasonal frozen ground,0.788493617
0-20,Seasonal frozen ground,0.80617726
0-20,Seasonal frozen ground,0.750807592
0-20,Seasonal frozen ground,0.750807592
0-20,Seasonal frozen ground,0.765325751
0-20,Seasonal frozen ground,0.745858314
0-20,Seasonal frozen ground,0.801823394
0-20,Seasonal frozen ground,1.29578694
20-40,Seasonal frozen ground,1.179838928
40-60,Seasonal frozen ground,0.91824009
0-20,Seasonal frozen ground,1.156609718
20-40,Seasonal frozen ground,1.180068501
40-60,Seasonal frozen ground,0.808750972
0-20,Seasonal frozen ground,1.233909453
20-40,Seasonal frozen ground,1.18999534
40-60,Seasonal frozen ground,0.881726935
0-20,Seasonal frozen ground,1.28546729
20-40,Seasonal frozen ground,1.194292282
40-60,Seasonal frozen ground,0.969788537
0-20,Seasonal frozen ground,1.285647309
20-40,Seasonal frozen ground,1.114610984
40-60,Seasonal frozen ground,0.936513742
0-20,Seasonal frozen ground,1.162862993
20-40,Seasonal frozen ground,1.132835804
40-60,Seasonal frozen ground,0.856970433
0-20,Seasonal frozen ground,1.240549248
20-40,Seasonal frozen ground,1.122150319
40-60,Seasonal frozen ground,0.945173046
0-20,Seasonal frozen ground,1.270119599
20-40,Seasonal frozen ground,1.139123134
40-60,Seasonal frozen ground,0.969602265
0-20,Seasonal frozen ground,1.123417129
0-20,Seasonal frozen ground,1.230127936
0-20,Seasonal frozen ground,1.312118939
0-20,Seasonal frozen ground,1.123417129
0-20,Seasonal frozen ground,1.230127936
0-20,Seasonal frozen ground,1.312118939
