layer,Ecosystem,log_stock
40-60,Wetland,0.265105684
0-20,Wetland,1.06483222
0-20,Wetland,0.928178651
20-40,Wetland,0.336475744
20-40,Wetland,0.560064522
40-60,Wetland,0.311058433
0-20,Wetland,0.900552825
0-20,Wetland,1.035992955
20-40,Wetland,1.161269751
20-40,Wetland,1.242474838
40-60,Wetland,0.83394991
0-20,Wetland,1.039334789
0-20,Wetland,1.854073951
0-20,Wetland,1.772131661
0-20,Wetland,1.732941108
20-40,Wetland,0.447201459
20-40,Wetland,0.067160162
0-20,Wetland,1.253764335
20-40,Wetland,0.479143248
0-20,Grassland,
0-20,Forest,
0-20,Forest,1.650268543
0-20,Forest,1.384575613
0-20,Forest,1.171129437
0-20,Forest,1.086188505
0-20,Forest,0.780921878
0-20,Forest,0.557652966
0-20,Forest,0.357784692
0-20,Forest,1.608329166
0-20,Forest,1.398148626
0-20,Forest,1.313900951
0-20,Forest,1.207688532
0-20,Forest,1.136872327
0-20,Forest,0.988488137
0-20,Forest,1.004046599
0-20,Forest,1.174582745
0-20,Forest,1.011621686
0-20,Forest,1.168521054
0-20,Forest,1.039492966
0-20,Forest,1.140608964
0-20,Forest,1.037140002
20-40,Forest,0.86890294
20-40,Forest,0.879898324
20-40,Forest,0.851869601
20-40,Forest,0.86890294
20-40,Forest,0.911306789
20-40,Forest,0.906227263
20-40,Forest,-0.02974613
20-40,Forest,0.131105162
20-40,Forest,-0.015022874
20-40,Forest,0.17995373
0-20,Forest,
0-20,Forest,
0-20,Forest,
0-20,Forest,1.779856039
0-20,Forest,1.574411102
0-20,Forest,1.349238893
0-20,Forest,1.158820316
0-20,Forest,0.635645757
0-20,Forest,0.352103018
0-20,Forest,0.152532948
20-40,Forest,-0.000782434
20-40,Forest,-0.000782434
