layer,log_stock,MAP
20-40,0.61500683,600
0-20,1.230587873,600
0-20,0.679340666,600
20-40,0.595760686,600
0-20,0.829720496,600
0-20,0.610080717,600
20-40,0.535825584,600
0-20,0.667565014,600
0-20,0.511573231,600
20-40,0.502230414,600
0-20,0.570584966,550
0-20,0.731427587,550
0-20,0.951030392,550
0-20,0.896548262,550
20-40,1.176841072,550
20-40,1.189641322,550
20-40,1.341651321,550
20-40,1.220505573,550
0-20,0.676678981,550
0-20,0.811414126,550
0-20,0.870570099,550
0-20,0.908324139,550
20-40,0.98099906,550
20-40,1.377300422,550
20-40,1.227529357,550
20-40,1.199996933,550
0-20,0.956480588,570
0-20,0.928530012,570
0-20,0.836873284,570
0-20,0.989114178,570
0-20,0.837854741,570
0-20,0.71015292,570
0-20,1.010242273,570
0-20,1.033525079,570
0-20,0.961039317,570
0-20,0.991185303,570
0-20,0.855286501,570
0-20,0.705998767,570
0-20,0.97982143,570
0-20,0.787262057,570
0-20,1.077043608,600
0-20,1.066706745,600
0-20,1.123360905,600
0-20,1.186383299,600
0-20,1.106552602,600
0-20,1.235729388,600
0-20,0.640775505,600
0-20,0.976521462,600
0-20,1.12699848,600
0-20,1.114080968,600
0-20,1.131255424,575
0-20,0.942510055,575
20-40,0.785275723,575
20-40,0.653388126,575
0-20,1.156609113,575
0-20,0.899467016,575
20-40,0.530192012,575
20-40,0.479572431,575
0-20,1.775943777,575
0-20,1.370016893,575
0-20,1.313713714,575
0-20,1.267935415,575
0-20,1.358586181,575
0-20,1.083147729,575
0-20,1.02057092,575
0-20,1.004364371,575
0-20,1.007408059,575
0-20,1.001587481,575
0-20,1.006364196,575
0-20,1.009676908,575
0-20,0.979968809,575
0-20,0.948058734,575
20-40,0.544564097,575
0-20,0.965728369,575
0-20,0.918707476,575
20-40,0.568858538,575
0-20,0.986917669,575
0-20,0.92389549,575
20-40,0.687279192,575
0-20,0.974995917,575
0-20,0.929022259,575
20-40,0.721051792,575
0-20,1.001667958,575
