layer,log_stock,NDVI
20-40,0.024805729,0.301521
0-20,0.028408565,0.301521
20-40,0.171726454,0.301521
0-20,0.407815642,0.270141
20-40,0.28057837,0.270141
0-20,0.331439444,0.270141
20-40,0.265148139,0.270141
0-20,0.234122291,0.298022
20-40,0.171726454,0.378729
0-20,0.386677284,0.368896
0-20,0.522704993,0.304837
0-20,0.455758203,0.304837
0-20,0.629001619,0.400008
0-20,0.691435152,0.400008
0-20,0.957825576,0.400008
20-40,0.363122888,0.378729
0-20,1.162110161,0.304837
0-20,0.916284143,0.304837
0-20,0.729638274,0.304837
0-20,1.045083464,0.376252
0-20,1.067361777,0.304837
0-20,1.025417293,0.304837
0-20,0.908883743,0.378729
20-40,0.748018929,0.378729
0-20,0.954265671,0.378729
0-20,0.460963959,0.378729
0-20,0.357500335,0.378729
0-20,0.164578868,0.378729
0-20,1.14527847,0.378729
0-20,1.326992542,0.378729
0-20,1.158731486,0.378729
0-20,1.23802602,0.378729
0-20,0.839402621,0.378729
20-40,0.615655515,0.378729
0-20,1.230448921,0.378729
0-20,0.680081572,0.378729
20-40,0.595760686,0.378729
0-20,0.829020585,0.378729
0-20,0.610660163,0.378729
20-40,0.537768739,0.378729
0-20,0.667565014,0.378729
0-20,0.510115865,0.378729
20-40,0.501387941,0.378729
0-20,1.237821115,0.378729
0-20,0.83974445,0.378729
20-40,0.61500683,0.378729
0-20,1.230587873,0.337865
0-20,0.679340666,0.337865
20-40,0.595760686,0.337865
0-20,0.829720496,0.337865
0-20,0.610080717,0.337865
20-40,0.535825584,0.337865
0-20,0.667565014,0.337865
0-20,0.511573231,0.337865
20-40,0.502230414,0.337865
0-20,0.570584966,0.337865
0-20,0.731427587,0.337865
0-20,0.951030392,0.337865
0-20,0.896548262,0.337865
20-40,1.176841072,0.337865
20-40,1.189641322,0.337865
20-40,1.341651321,0.337865
20-40,1.220505573,0.337865
0-20,0.676678981,0.337865
0-20,0.811414126,0.337865
0-20,0.870570099,0.337865
0-20,0.908324139,0.337865
20-40,0.98099906,0.337865
20-40,1.377300422,0.338664
20-40,1.227529357,0.338664
20-40,1.199996933,0.338664
0-20,0.956480588,0.370587
0-20,0.928530012,0.370587
0-20,0.836873284,0.370587
0-20,0.989114178,0.304837
0-20,0.837854741,0.304837
0-20,0.71015292,0.304471
0-20,1.010242273,0.304471
0-20,1.033525079,0.304471
0-20,0.961039317,0.304471
0-20,0.991185303,0.304471
0-20,0.855286501,0.304471
0-20,0.705998767,0.304471
0-20,0.97982143,0.304471
0-20,0.787262057,0.304471
0-20,1.077043608,0.304471
0-20,1.066706745,0.304837
0-20,1.123360905,0.304837
0-20,1.186383299,0.304837
0-20,1.106552602,0.304837
0-20,1.235729388,0.304837
0-20,0.640775505,0.304837
0-20,0.976521462,0.304837
0-20,1.12699848,0.304837
0-20,1.114080968,0.304837
0-20,1.131255424,0.297425
0-20,0.942510055,0.297425
20-40,0.785275723,0.297425
20-40,0.653388126,0.297425
0-20,1.156609113,0.304837
0-20,0.899467016,0.304837
20-40,0.530192012,0.283628
20-40,0.479572431,0.352038
0-20,1.775943777,0.304837
0-20,1.370016893,0.304837
0-20,1.313713714,0.304837
