layer,log_stock,NDSI
0-20,1.46146401,21.0009003
0-20,1.00607907,21.0009003
0-20,0.99490813,21.0009003
0-20,1.011933965,21.0009003
0-20,0.927733663,21.0009003
20-40,0.557006452,21.0009003
0-20,1.324305096,21.0009003
0-20,0.990791564,21.0009003
0-20,0.765482282,21.0009003
0-20,1.190970062,19.7402992
0-20,0.648798963,19.7402992
20-40,0.570356106,19.7402992
0-20,1.253118864,24.3953991
0-20,0.548023154,24.3953991
20-40,0.23363058,24.3953991
0-20,0.872076985,21.0009003
0-20,0.644271142,21.0009003
20-40,0.392352194,21.0009003
20-40,0.380374072,21.0009003
0-20,1.06483222,21.0009003
0-20,0.928178651,21.0009003
20-40,0.336475744,21.0009003
20-40,0.560064522,21.0009003
0-20,0.900552825,21.0009003
0-20,1.035992955,21.0009003
20-40,1.161269751,21.0009003
20-40,1.242474838,21.0009003
0-20,1.039334789,21.0009003
0-20,1.854073951,21.0009003
0-20,1.772131661,21.0009003
0-20,1.732941108,21.0009003
20-40,0.447201459,21.0009003
20-40,0.067160162,21.0009003
0-20,1.253764335,21.0009003
20-40,0.479143248,21.0009003
0-20,,11.3178997
0-20,,11.3178997
0-20,1.650268543,4.9912901
0-20,1.384575613,4.9912901
0-20,1.171129437,4.9912901
0-20,1.086188505,4.9912901
0-20,0.780921878,4.9912901
0-20,0.557652966,4.9912901
0-20,0.357784692,4.9912901
