layer,log_stock,pH
20-40,0.779382899,7.0999999
20-40,0.779382899,7.0999999
20-40,0.757273012,7.0999999
0-20,1.951196812,6
0-20,1.951196812,6
0-20,2.004445882,6
0-20,1.989142855,6
20-40,2.048289813,6
20-40,2.058427695,6
0-20,1.176410815,7.0999999
0-20,1.079710795,7.0999999
0-20,1.053757443,7.0999999
0-20,0.900747208,7.0999999
0-20,0.960303339,7.0999999
0-20,0.864553829,7.0999999
0-20,0.684953025,7.11
0-20,0.504062883,7.23
0-20,0.543163771,8.42
0-20,0.287264126,9.23
0-20,0.292078772,9.48
0-20,0.34182215,9.14
0-20,0.276213565,9.51
0-20,0.413182371,8.91
0-20,0.246301577,9.48
0-20,0.240549248,10.24
0-20,0.264496704,10.34
0-20,0.293954471,9.99
0-20,0.21571157,10.32
0-20,0.328770904,9.49
0-20,0.153363573,10.38
0-20,0.792489745,6.1999998
0-20,1.088855238,5.4
20-40,0.854777898,5.4
0-20,0.901449471,5.7
20-40,0.553184433,6.2
0-20,0.892274908,6.1999998
0-20,0.892683739,6.1999998
0-20,1.022176243,6.1999998
0-20,0.784210736,6.1999998
0-20,0.386677284,10.2
0-20,0.522704993,9.7
0-20,0.455758203,9.9
0-20,0.629001619,9.4
0-20,0.691435152,8.4
0-20,0.867632453,5.1
0-20,1.07471407,5.5
0-20,0.314183339,9.51
0-20,0.38344552,9.4
0-20,0.365398122,9.33
0-20,0.245083096,9.48
0-20,0.460711462,9.43
0-20,0.370350222,9.43
0-20,0.370350222,9.43
0-20,0.420516831,9.43
0-20,0.809142053,5.46
0-20,0.561602204,7.5999999
0-20,0.489339626,7.5999999
0-20,0.40715287,7.5999999
20-40,0.351022885,7.8000002
20-40,0.213995649,7.8000002
0-20,1.137508682,4.92
0-20,1.090363225,5.03
0-20,1.037609037,5.12
0-20,1.711915831,6.6999998
0-20,1.727233238,6.6999998
0-20,1.626658118,6.6999998
20-40,1.740687263,7.0999999
0-20,0.500428598,9.7
0-20,0.433481808,9.9
0-20,0.606725225,9.4
0-20,0.701343441,9.4
0-20,1.106427535,4.95
0-20,1.170591798,5.37
