layer,log_stock,MAT
0-20,0.570584966,1.9
0-20,0.731427587,1.9
0-20,0.951030392,1.9
0-20,0.896548262,1.9
20-40,1.176841072,1.9
20-40,1.189641322,1.9
20-40,1.341651321,1.9
20-40,1.220505573,1.9
0-20,0.676678981,1.9
0-20,0.811414126,1.9
0-20,0.870570099,1.9
0-20,0.908324139,1.9
20-40,0.98099906,1.9
20-40,1.377300422,1.9
20-40,1.227529357,1.9
20-40,1.199996933,1.9
0-20,0.956480588,2
0-20,0.928530012,2
0-20,0.836873284,2
0-20,0.989114178,2
0-20,0.837854741,2
0-20,0.71015292,2
0-20,1.010242273,2
0-20,1.033525079,2
0-20,0.961039317,2
0-20,0.991185303,2
0-20,0.855286501,2
0-20,0.705998767,2
0-20,0.97982143,1.9
0-20,0.787262057,1.9
0-20,1.077043608,2
0-20,1.066706745,2
0-20,1.123360905,2
0-20,1.186383299,2
0-20,1.106552602,2
0-20,1.235729388,2
0-20,0.640775505,2
0-20,0.976521462,2
0-20,1.12699848,2
0-20,1.114080968,2
0-20,1.131255424,1.9
0-20,0.942510055,1.9
20-40,0.785275723,1.9
20-40,0.653388126,1.9
0-20,1.156609113,1.9
0-20,0.899467016,1.9
20-40,0.530192012,1.9
20-40,0.479572431,1.9
0-20,1.775943777,1.9
0-20,1.370016893,1.9
0-20,1.313713714,1.9
0-20,1.267935415,1.9
0-20,1.358586181,1.9
0-20,1.083147729,1.9
0-20,1.02057092,1.9
0-20,1.004364371,1.9
0-20,1.007408059,1.9
0-20,1.001587481,1.9
0-20,1.006364196,1.9
0-20,1.009676908,1.9
0-20,0.979968809,1.9
0-20,0.948058734,1.9
20-40,0.544564097,1.9
0-20,0.965728369,1.9
0-20,0.918707476,1.9
20-40,0.568858538,1.9
0-20,0.986917669,1.9
0-20,0.92389549,1.9
20-40,0.687279192,1.9
0-20,0.974995917,1.9
0-20,0.929022259,1.9
20-40,0.721051792,1.9
0-20,1.001667958,1.9
0-20,0.975412506,1.9
20-40,0.648789214,1.9
0-20,1.461508431,1.9
0-20,1.175838716,1.9
20-40,0.482873584,1.9
0-20,1.449609208,1.9
0-20,1.215526002,1.9
20-40,0.571475904,1.9
0-20,1.437374751,1.9
0-20,1.215526002,1.9
20-40,0.482873584,1.9
0-20,1.457547649,1.9
0-20,1.179584534,1.9
20-40,0.555142835,1.9
0-20,1.461508431,1.9
0-20,1.205019668,1.9
20-40,0.462278176,1.9
0-20,1.029156424,1.9
0-20,0.874344956,1.9
20-40,0.647148153,1.9
20-40,0.250478555,1.9
0-20,0.8722099,1.9
0-20,0.717815244,1.9
20-40,0.501407106,1.9
20-40,0.35758041,1.9
0-20,0.81646005,1.9
0-20,0.601886239,1.9
20-40,0.455986239,1.9
20-40,0.140972885,1.9
0-20,1.46146401,1.9
0-20,1.00607907,1.9
0-20,0.99490813,1.9
0-20,1.011933965,1.9
0-20,0.927733663,1.9
20-40,0.557006452,1.9
0-20,1.324305096,1.9
0-20,0.990791564,1.9
0-20,0.765482282,1.9
0-20,1.190970062,1.9
0-20,0.648798963,1.9
20-40,0.570356106,1.9
0-20,1.253118864,1.9
0-20,0.548023154,1.9
20-40,0.23363058,1.9
0-20,0.872076985,1.9
0-20,0.644271142,1.9
20-40,0.392352194,1.9
20-40,0.380374072,1.9
0-20,1.06483222,1.9
0-20,0.928178651,1.9
20-40,0.336475744,1.9
20-40,0.560064522,1.9
0-20,0.900552825,1.9
0-20,1.035992955,1.9
20-40,1.161269751,1.9
20-40,1.242474838,1.9
0-20,1.039334789,1.9
0-20,1.854073951,1.9
0-20,1.772131661,1.9
0-20,1.732941108,1.9
20-40,0.447201459,1.9
20-40,0.067160162,1.9
0-20,1.253764335,1.9
20-40,0.479143248,1.9
0-20,,2.6
0-20,,2.6
0-20,1.650268543,3.6
0-20,1.384575613,3.6
0-20,1.171129437,3.6
0-20,1.086188505,3.6
0-20,0.780921878,3.6
0-20,0.557652966,3.6
0-20,0.357784692,3.6
0-20,1.608329166,3.6
0-20,1.398148626,3.6
0-20,1.313900951,3.6
0-20,1.207688532,3.6
0-20,1.136872327,3.6
0-20,0.988488137,3.6
0-20,1.004046599,3.6
0-20,1.174582745,4.2
0-20,1.011621686,4.2
0-20,1.168521054,4.2
0-20,1.039492966,4.2
0-20,1.140608964,4.2
0-20,1.037140002,4.2
20-40,0.86890294,4.2
20-40,0.879898324,4.2
20-40,0.851869601,4.2
20-40,0.86890294,4.2
20-40,0.911306789,4.2
20-40,0.906227263,4.2
20-40,-0.02974613,6.4
20-40,0.131105162,6.4
20-40,-0.015022874,6.4
20-40,0.17995373,6.4
0-20,,2.6
0-20,,2.6
0-20,,2.6
0-20,1.779856039,3.6
0-20,1.574411102,3.6
0-20,1.349238893,3.6
0-20,1.158820316,3.6
0-20,0.635645757,3.6
0-20,0.352103018,3.6
0-20,0.152532948,3.6
20-40,-0.000782434,6.4
20-40,-0.000782434,6.4
