layer,log_stock,MBC,log_MBC
0-20,1.062780507,0.085223691,-1.069439662
0-20,0.694373546,0.085223691,-1.069439662
0-20,1.019518431,0.085223691,-1.069439662
0-20,0.641712048,0.085223691,-1.069439662
0-20,0.908034439,0.085239006,-1.069361621
0-20,0.561168226,0.085239006,-1.069361621
0-20,0.874463296,0.085239006,-1.069361621
0-20,0.497515721,0.085239006,-1.069361621
0-20,0.872468652,0.085239006,-1.069361621
0-20,0.467318019,0.085239006,-1.069361621
0-20,1.023881044,0.085239006,-1.069361621
0-20,0.678562112,0.085239006,-1.069361621
0-20,0.892602129,0.085239006,-1.069361621
0-20,0.516773311,0.085239006,-1.069361621
0-20,0.925163519,0.08649025,-1.063032849
0-20,0.511391327,0.08649025,-1.063032849
0-20,1.198885752,0.079289765,-1.100782869
0-20,0.78521594,0.079289765,-1.100782869
0-20,1.29345979,0.071373,-1.146466048
0-20,0.717544023,0.071373,-1.146466048
20-40,1.992845011,1.53988,0.187486878
20-40,1.948295573,1.85772,0.268980257
0-20,1.154484837,0.008100224,-2.091502965
0-20,2.043582317,0.992784,-0.003145231
20-40,2.126170385,0.993798,-0.002701882
20-40,2.046276596,0.872964,-0.059003666
0-20,0.970607222,0.085223691,-1.069439662
0-20,0.511509071,0.085223691,-1.069439662
0-20,0.998750945,0.085223691,-1.069439662
0-20,0.671291388,0.085223691,-1.069439662
0-20,1.011330216,0.085239006,-1.069361621
0-20,0.642757282,0.085239006,-1.069361621
0-20,1.237630689,0.5952571,-0.225295416
0-20,2.120402548,1.24090896,0.09373992
20-40,1.856897985,1.5096,0.178861887
20-40,1.948295573,1.5344,0.18593859
0-20,1.239559728,0.098326244,-1.007330549
20-40,1.202673547,0.121357617,-0.91593296
0-20,1.352505127,0.066730832,-1.175673458
0-20,1.379991143,0.066730832,-1.175673458
0-20,1.252616167,0.066730832,-1.175673458
0-20,1.398610736,0.066730832,-1.175673458
0-20,1.252616167,0.066730832,-1.175673458
0-20,1.198263295,0.066730832,-1.175673458
0-20,1.262701627,0.066730832,-1.175673458
0-20,1.247484226,0.066730832,-1.175673458
0-20,1.540478636,0.066730832,-1.175673458
0-20,1.252616167,0.066730832,-1.175673458
0-20,1.335921436,0.066730832,-1.175673458
0-20,1.426835154,0.066730832,-1.175673458
0-20,1.242290916,0.066730832,-1.175673458
0-20,1.262701627,0.066730832,-1.175673458
0-20,1.198263295,0.066730832,-1.175673458
0-20,1.162107769,0.066730832,-1.175673458
0-20,0.920553232,0.07907674,-1.101951242
0-20,1.163852236,0.096448343,-1.015705229
0-20,0.675140175,0.113194246,-0.946175648
0-20,1.163852236,0.054918581,-1.260280691
0-20,0.776340817,0.110069508,-0.958332976
0-20,0.804891467,0.056836888,-1.245369709
0-20,0.920553232,0.069978886,-1.155032975
0-20,0.675140175,0.130224607,-0.885306943
0-20,0.675140175,0.07567299,-1.121059107
0-20,0.785158931,0.121956146,-0.913796308
0-20,0.804891467,0.074658414,-1.12692124
0-20,0.675140175,0.072369927,-1.140441866
0-20,0.675140175,0.128597791,-0.890766492
0-20,0.675140175,0.07567299,-1.121059107
0-20,0.675140175,0.104314544,-0.981655134
0-20,0.776340817,0.063781121,-1.195307851
0-20,1.163852236,0.060567817,-1.217758082
0-20,0.985644689,0.063829945,-1.19497553
0-20,0.675140175,0.134186868,-0.872289982
0-20,1.030194785,0.015912,-1.798275243
0-20,1.093981704,0.015912,-1.798275243
20-40,1.072617477,0.015912,-1.798275243
20-40,1.173535895,0.015912,-1.798275243
0-20,1.122019172,0.015912,-1.798275243
0-20,1.224377652,0.023867999,-1.622183984
20-40,1.151614972,0.023867999,-1.622183984
20-40,1.224688417,0.031823999,-1.497245248
0-20,1.15192118,0.015912,-1.798275243
0-20,1.11320777,0.023867999,-1.622183984
20-40,1.115011071,0.031823999,-1.497245248
20-40,1.098712931,0.095471997,-1.020123993
0-20,1.112605002,0.015912,-1.798275243
0-20,1.218220304,0.031823999,-1.497245248
20-40,1.240049772,0.079559998,-1.099305239
20-40,1.230039981,0.087515997,-1.057912554
0-20,1.151431144,0.015912,-1.798275243
0-20,1.242789809,0.023867999,-1.622183984
