Type,Ecosystem,Mycorrhiza,log_stock,stock,Species
Seasonal frozen ground,Forest,EcM,,,HS-LYS
Seasonal frozen ground,Grassland,AM,0.722255861,5.275405664,TMH-YC
Seasonal frozen ground,Grassland,AM,0.794661075,6.232482599,YC
Seasonal frozen ground,Grassland,AM,0.733651492,5.415661253,TC-YC
Seasonal frozen ground,Grassland,AM,0.920738135,8.331786543,XYZ-TC
Seasonal frozen ground,Wetland,EcM,,,XYZ-ZL
Seasonal frozen ground,Forest,EcM,1.131027402,13.52157875,ZS-HS
Seasonal frozen ground,Forest,EcM,0.652708399,4.494779582,LYS-HS
Seasonal frozen ground,Forest,,1.359100028,22.8612529,
Seasonal frozen ground,Forest,EcM,,,YS-LS
Seasonal frozen ground,Forest,EcM,,,
Seasonal frozen ground,Forest,,0.995176933,9.889559165,
Seasonal frozen ground,Grassland,,0.227284086,1.687656613,
Seasonal frozen ground,Forest,,0.866417559,7.352204176,
Seasonal frozen ground,Forest,,0.511216254,3.245011601,
Seasonal frozen ground,Forest,,0.947404151,8.859396752,
Seasonal frozen ground,Forest,,1.077987228,11.96705336,
Seasonal frozen ground,Forest,EcM,1.302940311,20.08816705,LYS-HS
Seasonal frozen ground,Forest,,1.298082736,19.86473318,
Seasonal frozen ground,Forest,,,,
Seasonal frozen ground,Forest,EcM,0.738545133,5.477030162,HS-ZS
Seasonal frozen ground,Forest,EcM,1.103287691,12.68491879,YS-LS
Seasonal frozen ground,Forest,,,,
Seasonal frozen ground,Forest,EcM,0.315400434,2.067285383,HS
Seasonal frozen ground,Grassland,,1.231703698,17.04918794,
Seasonal frozen ground,Grassland,,0.520782835,3.317285383,
Seasonal frozen ground,Grassland,,0.368875537,2.338167053,
Seasonal frozen ground,Forest,,0.452238394,2.832946636,
Seasonal frozen ground,Forest,,0.783757712,6.077958237,
Seasonal frozen ground,Forest,EcM,,,LS-HS
Seasonal frozen ground,Grassland,,,,
Seasonal frozen ground,Forest,EcM,,,ZS-LS
Seasonal frozen ground,Forest,EcM,0.670917097,4.687238979,ZS
Seasonal frozen ground,Forest,EcM,,,ZS-HS
Seasonal frozen ground,Forest,EcM,0.717859636,5.222273782,
Seasonal frozen ground,Forest,EcM,,,ZS-HS
Seasonal frozen ground,Grassland,NM,,,XYZ
Seasonal frozen ground,Forest,AM,-0.095652281,0.802320186,TC
Seasonal frozen ground,Forest,EcM,-0.449927789,0.35487239,YS
Seasonal frozen ground,Forest,EcM,0.573210943,3.742923434,ZS
Seasonal frozen ground,Forest,EcM,,,LYS
Seasonal frozen ground,Grassland,AM,,,GWC
Seasonal frozen ground,Grassland,AM,,,HL
Seasonal frozen ground,Forest,,,,
Seasonal frozen ground,Forest,EcM,,,LYS-LS
Seasonal frozen ground,Forest,EcM,,,HS-ZS
