Type,Ecosystem,Ecosystem,Mycorrhiza,soc_stock,log_stock,MAT
Seasonal frozen ground,Wetland,Wetland,NM,5.59782,0.748018929,1.9
Seasonal frozen ground,Wetland,Wetland,NM,4.1272,0.615655515,1.7
Seasonal frozen ground,Wetland,Wetland,NM,3.9424,0.595760686,1.7
Seasonal frozen ground,Wetland,Wetland,AM,3.4496,0.537768739,1.7
Seasonal frozen ground,Wetland,Wetland,AM,3.1724,0.501387941,1.7
Seasonal frozen ground,Wetland,Wetland,NM,4.12104,0.61500683,1.7
Seasonal frozen ground,Wetland,Wetland,NM,3.9424,0.595760686,1.7
Seasonal frozen ground,Wetland,Wetland,AM,3.4342,0.535825584,1.7
Seasonal frozen ground,Wetland,Wetland,AM,3.17856,0.502230414,1.7
Seasonal frozen ground,Wetland,Wetland,AM,15.02592,1.176841072,1.9
Seasonal frozen ground,Wetland,Wetland,AM,15.47538,1.189641322,1.9
Seasonal frozen ground,Wetland,Wetland,AM,21.96096,1.341651321,1.9
Seasonal frozen ground,Wetland,Wetland,AM,16.6152,1.220505573,1.9
Seasonal frozen ground,Wetland,Wetland,AM,9.57192,0.98099906,1.9
Seasonal frozen ground,Wetland,Wetland,AM,23.83968,1.377300422,1.9
Seasonal frozen ground,Wetland,Wetland,AM,16.8861,1.227529357,1.9
Seasonal frozen ground,Wetland,Wetland,AM,15.84882,1.199996933,1.9
Seasonal frozen ground,Wetland,Wetland,NM,6.09924,0.785275723,1.9
Seasonal frozen ground,Wetland,Wetland,NM,4.50182,0.653388126,1.9
Seasonal frozen ground,Wetland,Wetland,NM,3.38994,0.530192012,1.9
Seasonal frozen ground,Wetland,Wetland,NM,3.01698,0.479572431,1.9
Seasonal frozen ground,Wetland,Wetland,NM,3.504,0.544564097,1.9
Seasonal frozen ground,Wetland,Wetland,NM,3.7056,0.568858538,1.9
Seasonal frozen ground,Wetland,Wetland,NM,4.8672,0.687279192,1.9
Seasonal frozen ground,Wetland,Wetland,NM,5.2608,0.721051792,1.9
Seasonal frozen ground,Wetland,Wetland,NM,4.4544,0.648789214,1.9
Seasonal frozen ground,Wetland,Wetland,NM,3.04,0.482873584,1.9
Seasonal frozen ground,Wetland,Wetland,NM,3.728,0.571475904,1.9
Seasonal frozen ground,Wetland,Wetland,NM,3.04,0.482873584,1.9
Seasonal frozen ground,Wetland,Wetland,NM,3.5904,0.555142835,1.9
Seasonal frozen ground,Wetland,Wetland,NM,2.8992,0.462278176,1.9
Seasonal frozen ground,Wetland,Wetland,NM,4.4376,0.647148153,1.9
Seasonal frozen ground,Wetland,Wetland,NM,1.78024,0.250478555,1.9
Seasonal frozen ground,Wetland,Wetland,NM,3.17254,0.501407106,1.9
Seasonal frozen ground,Wetland,Wetland,NM,2.27814,0.35758041,1.9
Seasonal frozen ground,Forest,Upland,EcM,2.8575,0.455986239,1.9
Seasonal frozen ground,Forest,Upland,EcM,1.38348,0.140972885,1.9
Seasonal frozen ground,Wetland,Wetland,NM,3.60584,0.557006452,1.9
Seasonal frozen ground,Wetland,Wetland,NM,3.7184,0.570356106,1.9
Seasonal frozen ground,Forest,Upland,EcM,1.7125,0.23363058,1.9
Seasonal frozen ground,Wetland,Wetland,EcM,2.46804,0.392352194,1.9
Seasonal frozen ground,Wetland,Wetland,EcM,2.4009,0.380374072,1.9
Seasonal frozen ground,Wetland,Wetland,NM,2.17008,0.336475744,1.9
Seasonal frozen ground,Wetland,Wetland,NM,3.63132,0.560064522,1.9
Seasonal frozen ground,Wetland,Wetland,AM,14.49672,1.161269751,1.9
Seasonal frozen ground,Wetland,Wetland,AM,17.47732,1.242474838,1.9
Seasonal frozen ground,Wetland,Wetland,NM,2.80028,0.447201459,1.9
Seasonal frozen ground,Wetland,Wetland,NM,1.16724,0.067160162,1.9
Seasonal frozen ground,Wetland,Wetland,AM,3.014,0.479143248,1.9
Seasonal frozen ground,Forest,Upland,EcM,7.3944,0.86890294,4.2
Seasonal frozen ground,Forest,Upland,EcM,7.584,0.879898324,4.2
Seasonal frozen ground,Forest,Upland,EcM,7.11,0.851869601,4.2
Seasonal frozen ground,Forest,Upland,EcM,7.3944,0.86890294,4.2
Seasonal frozen ground,Forest,Upland,EcM,8.1528,0.911306789,4.2
Seasonal frozen ground,Forest,Upland,EcM,8.058,0.906227263,4.2
Seasonal frozen ground,Forest,Upland,AM,0.9338,-0.02974613,6.4
Seasonal frozen ground,Forest,Upland,AM,1.3524,0.131105162,6.4
Seasonal frozen ground,Forest,Upland,EcM,0.966,-0.015022874,6.4
Seasonal frozen ground,Forest,Upland,EcM,1.5134,0.17995373,6.4
Seasonal frozen ground,Forest,Upland,EcM,0.9982,-0.000782434,6.4
Seasonal frozen ground,Forest,Upland,EcM,0.9982,-0.000782434,6.4
