lat,long,FT,ET,MT,log_stock,pH,MBC_g_kg,MBC,MBN,MAT,MAP,NDSI,TS,PS,MTW,MTC,MPW,MPC,bio_2,bio_7,bio_8,bio_9,bio_13,bio_14,bio_16,bio_17,NDVI,LAI,FPAR
53.47,122.33,Permafrost,Wetland,EcM,0.652052881,4.91,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,1.016548697,4.94,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,0.573586355,5.01,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,1.033963908,4.92,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,0.634590145,5.04,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,1.062780507,5.04,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,0.694373546,5.09,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,1.019518431,4.99,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,0.641712048,5.14,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.34,Permafrost,Wetland,EcM,0.908034439,4.76,0.322875,0.085239006,0.045540907,-4.1,490,11.0199003,1804.560059,100.4160004,16.8833008,-27.1833,271,14,15.8000002,62.4000015,16.8833008,-27.1833,105,4,271,14,0.401434,3.366812227,0.756026201
53.47,122.34,Permafrost,Wetland,EcM,0.561168226,4.82,0.322875,0.085239006,0.045540907,-4.1,490,11.0199003,1804.560059,100.4160004,16.8833008,-27.1833,271,14,15.8000002,62.4000015,16.8833008,-27.1833,105,4,271,14,0.401434,3.366812227,0.756026201
